Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_26_37.903040_qqmovdiamr.jpg?v=1734350656,11,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_42_11.762101_zvqchibyqa.jpg?v=1734350657,12,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_39_10.477901_oeiqxntafy.jpg?v=1734350658,13,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_27_10.400995_bcqgrzifct_ed35d8ef-971d-48c2-ad7f-81cbe8812c5a.jpg?v=1734350660,14,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_42_11.890978_ppfnlupwmq.jpg?v=1734350661,15,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_06_16.112162_pbdknvlcmp.jpg?v=1734350662,16,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_28_42.526235_ksesbqfgwp_13f1bc2e-f29c-476e-8f10-9de0e17a535a.jpg?v=1734350663,17,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_00_17.803503_vgqwjurcwk_3889f8a8-6b52-49c6-9f15-41da43dc81fc.jpg?v=1734350665,18,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_06_16.271569_lyccofrwav.jpg?v=1734350666,19,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_28_10.856438_byjcatuapa_0fcbff4a-573a-42a8-aa3e-90dbc2554729.jpg?v=1734350667,20,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_45_04.009611_warfttatlw.jpg?v=1734350668,21,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_03_06.765192_gpdwpjairz.jpg?v=1734350669,22,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_26_38.087851_yuechqrhgz.jpg?v=1734350671,23,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_33_11.214629_frniclksfm.jpg?v=1734350672,24,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_27_10.400995_bcqgrzifct_f670347e-efe0-41e0-96d8-8020159901b6.jpg?v=1734350673,25,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_09_08.336310_bfgoedhhav.jpg?v=1734350676,26,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_06_16.226394_wlaffrjndq.jpg?v=1734350678,27,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_18_11.034262_aproflknce.jpg?v=1734350679,28,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_21_25.424298_wqyhetjdrm.jpg?v=1734350680,29,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_15_36.343114_jpuuzovjmm.jpg?v=1734350681,30,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_18_09.096593_rfryeaizuj.jpg?v=1734350683,31,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_26_38.113677_bmreddlium.jpg?v=1734350684,32,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_09_09.261881_tpgntnkklo.jpg?v=1734350685,33,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_06_16.059513_vqytyrgzbn.jpg?v=1734350686,34,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_12_18.129158_xjknqefodp.jpg?v=1734350688,35,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_15_10.104040_mgsviyxaak.jpg?v=1734350689,36,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_27_10.400995_bcqgrzifct_b0983cc6-2b2f-4f23-90dd-67dd0de2669d.jpg?v=1734350690,37,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_24_10.436826_ouzqflluky.jpg?v=1734350691,38,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_51_01.899544_gzvybtjvmh.jpg?v=1734350692,39,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/B221-157-154-96-SIDE-SW-P1-KO.jpg?v=1734350694,40,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_12_06.519245_cvvjnizupk.jpg?v=1734350695,41,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_50_40.038801_wlsmndjsoh.jpg?v=1734350696,42,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-26T23_29_46.897380_adtklvcecw.jpg?v=1734350697,43,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_27_10.400995_bcqgrzifct_40e711ec-f5a3-49c7-9df7-3e71facb7948.jpg?v=1734350701,44,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_39_10.511091_gumzjqlyal.jpg?v=1734350702,45,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_24_10.564352_varfjvhuhv.jpg?v=1734350704,46,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_06_07.068255_kcjyvocojn.jpg?v=1734350707,47,,,,,,,,,,,,,,,,,,,,,,
baystorm-bedroom-mirror,Baystorm Bedroom Mirror,"Reflect in the beachy style of this mirror. A driftwood and surfer-inspired smoky finish gives it a rustic look that's perfect for setting the scene of an island getaway. Whether you hang it horizontally or vertically, the authentic look of this mirror will be admired for years to come. <br><br> <h3>More About This Product</h3> <b>Product Details</b><ul>
<li>Made with engineered wood (MDF/particleboard/plywood) and decorative laminate for the right balance of affordability and durability</li>
<li>Smoky gray finish over replicated oak grain with authentic touch</li>
<li>Vertical and horizontal hanging</li>
<li>Can attach to back of coordinating dresser (sold separately)</li>
</ul><br> <div class=""container-desc""> <h2 class=""kas58-header"">Weight &amp; Dimensions</h2> <details> <summary>Dimensions</summary> <table class=""kas58-table""> <tbody> <tr class=""kas58-row""> <td class=""kas58-cell-header"">Full Dimension</td> <td class=""kas58-cell""><p>42W x 2D x 31H</p></td> </tr>
</tbody> </table> </details> <br> <details> <summary>Weight</summary> <table class=""kas58-table""> <tbody> <tr class=""kas58-row""> <td class=""kas58-cell-header"">Weight</td> <td class=""kas58-cell""><p>24lbs.</p></td> </tr> </tbody> </table> </details> </div>",Romeo Furniture,Mirror,"ar-availability_available, availability_in-stock, Brand_Ashley, Collection_Baystorm, Color_Gray, consumer-assembly_no-assembly-required, Extreme Value Collection_True, material_glass, material_wood-products-and-other, mirror, mirror-type_mounted, product-video_not-available, romeo-furniture, shipping_not-express, style_casual, sub-brand_signature-design-by-ashley-reg, top-products_consumer-choice, Type_Mirror, under-500, VendorCollectionId_B221",2024-12-16T07:03:35-05:00,Title,Default Title,,,,,B221-35,10886,,100,deny,manual,79.99,109.99,TRUE,TRUE,24052793994,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_35_14.772576_ozoflpqcqy.jpg?v=1734350616,1,Baystorm Bedroom Mirror image,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_35_14.772576_ozoflpqcqy.jpg?v=1734350616,lb,,,active
baystorm-bedroom-mirror,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_28_10.614534_yhtdqwqkmq.jpg?v=1734350630,2,,,,,,,,,,,,,,,,,,,,,,
baystorm-bedroom-mirror,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_57_07.394516_muvvrfbhzx.jpg?v=1734350631,3,,,,,,,,,,,,,,,,,,,,,,
baystorm-bedroom-mirror,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_27_10.400995_bcqgrzifct.jpg?v=1734350632,4,,,,,,,,,,,,,,,,,,,,,,
baystorm-bedroom-mirror,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_01_53.829116_snihubihkm.jpg?v=1734350633,5,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,Baystorm Chest of Drawers,"Beachy style and lots of storage go hand in hand with this chest. Its driftwood and surfer-inspired smoky finish creates a rustic look that's perfect for setting the scene of an island getaway. Five roomy drawers give you the space needed for stowing away clothes and more. Clean lines and modern handles provide an authentic look to be admired for years to come. <br><br> <h3>More About This Product</h3> <b>Product Details</b><ul>
<li>Made of engineered wood (MDF/particleboard) and decorative laminate</li>
<li>Smoky gray finish over replicated oak grain with authentic touch</li>
<li>Linear pulls with antiqued gunmetal finish</li>
<li>5 smooth-gliding drawers</li>
<li>Drawer interiors are lined with a faux linen laminate for a clean, finished look</li>
<li>Safety is a top priority, clothing storage units are designed to meet the most current standard for stability, ASTM F 2057 (ASTM International)</li>
<li>Drawers extend out to accommodate maximum access to drawer interior while maintaining safety</li>
</ul><br> <div class=""container-desc""> <h2 class=""kas58-header"">Weight &amp; Dimensions</h2> <details> <summary>Dimensions</summary> <table class=""kas58-table""> <tbody> <tr class=""kas58-row""> <td class=""kas58-cell-header"">Full Dimension</td> <td class=""kas58-cell""><p>32W x 15D x 52H</p></td> </tr>
</tbody> </table> </details> <br> <details> <summary>Weight</summary> <table class=""kas58-table""> <tbody> <tr class=""kas58-row""> <td class=""kas58-cell-header"">Weight</td> <td class=""kas58-cell""><p>150lbs.</p></td> </tr> </tbody> </table> </details> </div>",Romeo Furniture,Chest,"ar-availability_available, availability_in-stock, Brand_Ashley, chest, Collection_Baystorm, Color_Gray, consumer-assembly_no-assembly-required, Extreme Value Collection_True, material_wood-products-and-other, number-of-drawers_5, product-theme_urban-foundry-u, product-video_not-available, romeo-furniture, Room_Bedroom, shade_dark, shipping_not-express, style_casual, sub-brand_signature-design-by-ashley-reg, top-products_consumer-choice, Type_Chest, under-500, VendorCollectionId_B221",2024-12-16T07:05:08-05:00,Title,Default Title,,,,,B221-46,68039,,100,deny,manual,369.99,499.99,TRUE,TRUE,24052420456,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_57_59.341514_ktdcpmnjlu.jpg?v=1734350709,1,Baystorm Chest of Drawers image,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_57_59.341514_ktdcpmnjlu.jpg?v=1734350709,lb,,,active
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_14_14.236391_poafgpddlo.jpg?v=1734350715,2,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_15_12.871037_wbchoukcry.jpg?v=1734350716,3,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_27_10.400995_bcqgrzifct_5d55964b-5fb1-4264-b78b-ec7d2dc5c1fe.jpg?v=1734350717,4,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_35_13.860893_ajtsnyixlr.jpg?v=1734350718,5,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_00_19.277491_qotrecbnrb.jpg?v=1734350719,6,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_50_46.418536_gurxhmmxdf.jpg?v=1734350721,7,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_35_13.905889_thxjvuozxq.jpg?v=1734350722,8,,,,,,,,,,,,,,,,,,,,,,
baystorm-chest-of-drawers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_28_10.856438_byjcatuapa_c1203ac2-7584-4120-ab4e-5cca6b42928e.jpg?v=1734350723,9,,,,,,,,,,,,,,,,,,,,,,
baystorm-dresser,Baystorm Dresser,"Beachy style and lots of storage go hand in hand with this dresser. Its driftwood and surfer-inspired smoky finish creates a rustic look that's perfect for setting the scene of an island getaway. Six roomy drawers give you the space needed for stowing away clothes and more. Clean lines and modern handles provide an authentic look to be admired for years to come. <br><br> <h3>More About This Product</h3> <b>Product Details</b><ul>
<li>Made of engineered wood (MDF/particleboard) and decorative laminate</li>
<li>Smoky gray finish over replicated oak grain with authentic touch</li>
<li>Linear pulls with antiqued gunmetal-tone finish</li>
<li>6 smooth-gliding drawers</li>
<li>Drawer interiors are lined with a faux linen laminate for a clean, finished look</li>
<li>Safety is a top priority, clothing storage units are designed to meet the most current standard for stability, ASTM F 2057 (ASTM International)</li>
<li>Drawers extend out to accommodate maximum access to drawer interior while maintaining safety</li>
</ul><br> <div class=""container-desc""> <h2 class=""kas58-header"">Weight &amp; Dimensions</h2> <details> <summary>Dimensions</summary> <table class=""kas58-table""> <tbody> <tr class=""kas58-row""> <td class=""kas58-cell-header"">Full Dimension</td> <td class=""kas58-cell""><p>62W x 15D x 37H</p></td> </tr>
</tbody> </table> </details> <br> <details> <summary>Weight</summary> <table class=""kas58-table""> <tbody> <tr class=""kas58-row""> <td class=""kas58-cell-header"">Weight</td> <td class=""kas58-cell""><p>179lbs.</p></td> </tr> </tbody> </table> </details> </div>",Romeo Furniture,Dresser,"ar-availability_available, availability_in-stock, Brand_Ashley, Collection_Baystorm, Color_Gray, consumer-assembly_no-assembly-required, dresser, Extreme Value Collection_True, material_wood-products-and-other, number-of-drawers_6, product-theme_urban-foundry-u, product-video_not-available, romeo-furniture, Room_Bedroom, shade_dark, shipping_not-express, style_casual, sub-brand_signature-design-by-ashley-reg, top-products_consumer-choice, Type_Dresser, under-500, VendorCollectionId_B221",2024-12-16T07:05:22-05:00,Title,Default Title,,,,,B221-31,81193,,100,deny,manual,369.99,499.99,TRUE,TRUE,24052420432,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_18_14.552620_fmrgnydsdb.jpg?v=1734350723,1,Baystorm Dresser image,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_18_14.552620_fmrgnydsdb.jpg?v=1734350723,lb,,,active
baystorm-dresser,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_40_54.803173_jgnxtmhtgd.jpg?v=1734350728,2,,,,,,,,,,,,,,,,,,,,,,
baystorm-dresser,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_33_15.091592_ytrpivsmck.jpg?v=1734350732,3,,,,,,,,,,,,,,,,,,,,,,
